[2025-01-06T14:42:17.836277+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T14:42:18.062879+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T14:54:13.543968+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T14:54:13.989919+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T14:54:33.348201+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T14:54:33.590027+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T17:21:58.352700+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T17:21:59.171460+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T17:22:01.547627+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T17:22:01.835220+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T17:22:10.422843+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T17:22:10.726943+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T17:22:15.531743+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T17:22:15.928644+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T17:43:00.573751+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T17:43:01.730290+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T17:56:30.233587+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T17:56:30.466667+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T18:34:08.866792+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T18:34:09.359015+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T18:42:53.046472+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T18:42:53.412366+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T18:42:58.501322+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T18:42:58.729749+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T18:52:01.050301+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T18:52:01.459780+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
[2025-01-06T18:56:19.686712+00:00] name.INFO: BANCO DE DADOS ESTÁ DISPONÍVEL | DataBase [] []
[2025-01-06T18:56:20.009893+00:00] name.INFO: A API ESTÁ TRAZENDO OS FILMES. | FilmsModel [] []
